GPA,Programming_Skill,DBMS_Knowledge,Computer_Networks,Mathematics_Statistics,Web_Development,App_Development,Data_Analysis,Cybersecurity,Cloud_DevOps,UI_UX_Design,Testing_Debugging,Problem_Solving,Analytical_Thinking,Creativity,Communication_Skill,Leadership,Teamwork,Preferred_Work_Type,Work_Style,Career_Role
4.42,8,3,1,5,3,2,3,2,3,2,2,7,5,4,8,8,7,Technical,Team,IT Project Coordinator
5.05,8,7,6,5,5,5,6,3,2,3,4,9,5,8,4,4,5,Technical,Individual,Software Engineer
4.95,3,5,5,7,1,1,7,3,3,6,3,7,9,3,7,5,9,Creative,Team,Business Analyst
5.14,10,9,5,10,4,3,7,2,6,4,4,9,9,4,7,1,5,Analytical,Individual,Machine Learning Engineer
4.72,2,2,3,1,5,2,1,2,2,10,1,6,7,9,7,6,6,Creative,Team,UI/UX Designer
4.66,5,4,9,4,2,1,1,5,5,2,5,6,6,2,6,2,5,Creative,Individual,System Administrator
5.24,9,4,4,5,8,2,4,2,4,7,5,8,5,8,6,5,6,Technical,Team,Web Developer
4.86,7,4,8,3,1,1,1,9,5,2,8,7,9,2,5,2,6,Technical,Individual,Cybersecurity Analyst
4.2,3,5,4,2,2,1,1,6,6,2,5,6,6,4,4,3,8,Technical,Team,System Administrator
4.95,8,5,2,10,3,1,10,2,7,1,6,8,7,3,3,2,5,Analytical,Individual,Machine Learning Engineer
5.13,2,7,4,7,3,1,6,2,3,3,3,9,10,4,10,7,7,Analytical,Team,Business Analyst
4.71,6,4,7,3,2,1,3,5,6,2,6,7,5,3,7,5,7,Creative,Team,System Administrator
4.79,6,1,7,6,4,1,4,8,4,1,8,3,8,5,3,5,7,Analytical,Individual,Cybersecurity Analyst
5.06,9,5,6,2,7,4,5,4,4,5,6,6,8,9,6,1,6,Technical,Team,Web Developer
5.01,3,6,4,6,7,2,1,5,4,5,4,7,7,9,4,5,7,Technical,Team,Web Developer
5.28,8,7,2,9,2,3,9,2,4,1,7,10,10,4,6,3,6,Analytical,Individual,Machine Learning Engineer
4.83,2,5,2,6,1,2,5,1,1,2,2,7,10,4,10,6,6,Analytical,Team,Business Analyst
4.98,5,5,3,9,3,3,10,1,3,3,3,8,10,2,6,6,4,Creative,Individual,Data Analyst
5.47,9,4,6,3,10,3,2,2,5,7,7,8,5,8,5,3,6,Technical,Team,Web Developer
4.44,5,6,3,3,2,1,3,2,3,2,3,8,5,4,9,8,8,Analytical,Team,IT Project Coordinator
4.92,7,6,3,3,3,7,3,3,4,6,4,9,7,5,1,5,6,Technical,Individual,Mobile App Developer
4.71,2,3,4,4,3,2,5,1,3,1,1,5,6,6,8,9,10,Analytical,Team,IT Project Coordinator
5.03,8,6,5,8,4,1,9,1,7,1,3,8,7,4,4,5,5,Analytical,Individual,Machine Learning Engineer
4.88,2,5,7,6,1,2,2,10,3,2,5,9,8,2,5,5,6,Technical,Individual,Cybersecurity Analyst
4.28,2,1,2,4,4,2,4,1,2,7,3,7,2,9,7,6,9,Analytical,Team,UI/UX Designer
4.86,7,1,8,4,4,1,2,5,10,2,5,8,5,3,6,5,6,Technical,Team,Cloud Engineer
5.16,8,5,6,6,2,2,3,6,8,1,5,8,7,3,7,5,6,Analytical,Team,Cloud Engineer
5.45,10,8,6,4,4,8,3,4,4,6,8,9,6,4,5,5,5,Technical,Team,Mobile App Developer
5.11,6,3,3,6,3,2,7,2,2,1,4,7,8,6,7,10,10,Analytical,Team,IT Project Coordinator
5.05,6,5,2,10,1,1,8,3,1,6,3,10,9,5,6,6,6,Analytical,Individual,Data Analyst
4.63,6,4,3,5,2,2,5,2,1,2,2,5,7,4,8,10,10,Analytical,Team,IT Project Coordinator
4.96,5,5,8,3,4,3,3,5,10,2,5,7,7,4,4,3,6,Technical,Team,Cloud Engineer
5.29,10,4,5,5,10,5,4,2,3,5,6,8,8,7,9,3,7,Technical,Team,Web Developer
5.02,4,8,5,8,1,3,9,3,4,1,5,8,7,5,8,3,7,Analytical,Individual,Data Analyst
5.17,9,7,4,4,6,4,4,1,2,3,10,7,7,5,4,6,9,Technical,Individual,Software Engineer
5.03,7,5,8,3,2,2,2,3,9,2,7,9,6,5,4,5,7,Technical,Team,Cloud Engineer
4.56,4,2,1,2,4,3,2,3,1,8,1,6,6,9,8,3,10,Creative,Individual,UI/UX Designer
4.36,4,6,3,8,2,1,8,1,3,1,3,8,7,3,6,4,4,Analytical,Individual,Data Analyst
4.88,6,8,4,8,3,3,7,1,1,1,2,6,8,2,5,9,7,Analytical,Individual,Data Analyst
5.11,6,4,7,6,2,1,5,4,8,2,10,8,6,2,7,4,5,Creative,Team,Cloud Engineer
4.94,5,5,7,2,1,3,4,7,6,2,4,6,7,3,7,3,7,Analytical,Team,System Administrator
5.0,8,7,3,3,7,2,3,3,2,6,5,9,5,6,7,2,8,Technical,Team,Web Developer
4.86,7,5,7,5,1,3,3,7,4,1,7,8,6,4,5,2,7,Technical,Team,Cybersecurity Analyst
5.09,8,6,6,3,5,7,2,2,2,6,8,7,8,5,5,5,4,Technical,Individual,Mobile App Developer
3.97,3,3,1,6,1,1,6,2,3,2,1,7,8,3,8,5,3,Creative,Team,Business Analyst
5.0,6,8,3,9,2,1,8,1,2,3,4,9,10,1,5,6,7,Analytical,Team,Data Analyst
4.84,5,5,5,4,5,3,3,1,2,6,9,7,6,4,6,2,7,Technical,Team,Software Tester
5.1,7,6,3,10,1,1,7,2,2,2,7,9,9,3,7,5,7,Analytical,Individual,Data Analyst
4.75,4,4,4,3,2,2,3,2,1,1,4,7,6,3,10,8,10,Analytical,Team,IT Project Coordinator
5.0,5,5,9,3,2,2,4,6,6,1,5,9,8,4,6,2,8,Analytical,Team,System Administrator
5.13,8,5,4,6,3,10,1,2,5,7,8,6,4,6,5,3,5,Technical,Individual,Mobile App Developer
4.92,6,7,9,2,1,2,1,6,6,2,5,10,7,2,6,4,7,Technical,Team,System Administrator
4.13,5,4,1,4,3,2,4,1,2,2,2,6,3,6,8,7,7,Analytical,Individual,IT Project Coordinator
4.93,4,4,1,6,2,1,5,1,2,1,3,7,9,5,9,8,6,Analytical,Team,Business Analyst
4.74,4,6,8,2,3,3,2,7,5,1,5,8,7,1,7,3,5,Technical,Team,System Administrator
4.64,4,6,8,3,5,1,4,3,5,2,5,7,8,3,6,2,6,Technical,Team,System Administrator
5.05,4,7,9,3,2,1,4,7,10,1,4,7,6,3,7,3,8,Technical,Team,System Administrator
5.25,10,7,2,8,1,1,9,1,7,3,7,9,10,5,5,5,4,Analytical,Team,Machine Learning Engineer
4.87,4,2,3,5,3,2,6,1,1,4,3,8,7,4,10,9,10,Analytical,Team,IT Project Coordinator
5.01,7,10,5,7,3,1,10,1,3,3,3,3,8,5,7,5,5,Technical,Individual,Data Analyst
4.91,4,3,10,3,2,2,3,8,5,2,7,9,9,4,3,4,5,Technical,Individual,Cybersecurity Analyst
5.07,7,6,5,7,4,1,8,1,5,3,6,7,7,6,5,4,5,Analytical,Individual,Machine Learning Engineer
4.49,3,5,8,2,1,3,4,4,5,1,6,8,8,1,4,4,8,Technical,Team,System Administrator
5.14,8,8,6,4,8,2,2,2,1,7,5,6,8,9,7,5,9,Technical,Team,Web Developer
4.77,8,4,2,9,2,3,8,1,6,1,4,8,9,3,1,2,4,Analytical,Team,Machine Learning Engineer
4.85,4,6,1,8,1,2,10,3,1,3,2,7,9,3,5,5,5,Analytical,Individual,Data Analyst
4.81,5,1,7,5,2,2,4,3,8,1,7,9,5,3,7,1,7,Technical,Team,Cloud Engineer
5.01,7,4,6,5,10,3,2,3,3,8,7,6,6,8,5,2,8,Technical,Team,Web Developer
4.92,6,7,8,4,1,1,1,4,7,1,7,10,8,1,5,4,7,Technical,Team,System Administrator
4.99,2,1,2,3,4,3,1,2,4,10,4,4,3,10,7,4,10,Creative,Team,UI/UX Designer
5.07,7,7,2,7,2,2,8,1,7,2,7,9,9,6,5,4,5,Analytical,Individual,Machine Learning Engineer
5.29,8,6,3,7,1,3,8,2,6,2,7,9,9,4,5,3,7,Analytical,Individual,Machine Learning Engineer
5.53,10,9,5,3,7,4,5,3,3,4,5,10,8,5,8,4,7,Creative,Individual,Software Engineer
4.71,4,3,1,2,6,3,2,1,2,7,2,5,7,10,9,5,7,Creative,Team,UI/UX Designer
4.77,1,2,2,3,6,2,3,2,2,9,4,6,7,10,8,6,7,Creative,Team,UI/UX Designer
5.23,8,8,6,7,4,3,5,4,2,4,5,10,7,3,7,4,5,Technical,Team,Software Engineer
5.14,8,7,5,10,4,2,9,2,7,2,5,8,8,3,5,3,7,Analytical,Team,Machine Learning Engineer
5.04,8,3,8,2,10,4,4,2,3,6,4,7,7,10,4,2,6,Analytical,Team,Web Developer
4.73,5,2,3,3,3,1,4,1,2,2,1,8,6,2,9,10,7,Analytical,Team,IT Project Coordinator
4.63,4,5,2,5,5,4,2,3,1,4,10,6,6,3,4,6,7,Technical,Team,Software Tester
4.86,5,5,4,8,1,1,5,2,2,3,6,6,7,4,7,5,9,Analytical,Team,Business Analyst
5.02,5,4,5,7,1,2,9,3,6,1,5,10,8,6,4,5,5,Analytical,Individual,Machine Learning Engineer
5.46,7,5,3,7,6,3,10,2,7,3,6,8,7,5,5,2,7,Creative,Individual,Machine Learning Engineer
4.56,4,7,8,5,2,1,2,6,5,2,5,6,8,3,6,2,5,Technical,Team,System Administrator
5.01,9,10,5,5,5,4,2,2,3,1,6,10,8,1,5,5,8,Creative,Individual,Software Engineer
4.54,5,5,4,6,1,2,4,2,3,2,2,6,7,6,10,8,4,Analytical,Team,IT Project Coordinator
4.83,5,5,3,5,2,1,5,2,1,1,2,6,10,6,8,6,7,Analytical,Team,Business Analyst
4.67,4,3,4,3,3,1,3,2,3,1,1,6,6,6,8,8,7,Analytical,Team,IT Project Coordinator
5.07,8,4,6,5,4,7,3,5,4,4,7,9,7,7,6,4,4,Technical,Individual,Mobile App Developer
4.99,4,3,4,6,3,1,8,2,2,2,4,8,10,4,9,8,5,Creative,Team,Business Analyst
4.99,5,5,4,6,2,2,8,1,1,3,4,7,8,3,7,9,7,Analytical,Team,Business Analyst
5.17,7,6,1,9,6,3,8,1,6,2,5,8,10,3,7,3,4,Analytical,Individual,Machine Learning Engineer
4.94,8,6,5,3,3,9,3,3,4,4,7,7,5,4,4,4,5,Technical,Individual,Mobile App Developer
4.9,6,6,2,9,1,2,9,3,4,1,3,8,7,5,5,4,6,Analytical,Individual,Data Analyst
4.67,5,5,2,1,4,1,4,1,1,1,8,8,9,6,5,5,5,Technical,Team,Software Tester
4.56,3,2,4,5,3,2,3,1,3,1,1,5,8,6,10,10,9,Analytical,Team,IT Project Coordinator
4.81,3,6,3,6,1,2,8,2,2,3,4,8,8,3,7,8,7,Creative,Team,Business Analyst
4.34,2,1,4,1,3,3,3,1,2,8,1,5,7,9,8,5,6,Creative,Team,UI/UX Designer
4.78,4,5,1,5,1,1,7,1,1,2,3,9,7,5,9,8,9,Analytical,Team,Business Analyst
5.11,7,6,7,6,5,3,1,1,4,4,6,8,7,5,6,5,6,Technical,Individual,Software Engineer
5.17,9,5,2,9,1,1,9,3,4,3,4,8,8,3,7,5,7,Analytical,Team,Machine Learning Engineer
5.04,7,7,3,7,3,1,9,1,6,1,7,8,9,6,6,6,4,Analytical,Individual,Machine Learning Engineer
5.38,7,7,5,2,9,2,4,4,3,6,7,9,6,6,7,3,6,Technical,Individual,Web Developer
4.32,5,3,9,6,2,2,1,8,3,1,6,7,8,2,3,2,5,Technical,Individual,Cybersecurity Analyst
4.32,2,5,1,5,1,2,6,2,2,1,1,5,5,4,7,7,10,Analytical,Team,IT Project Coordinator
5.04,10,5,3,5,5,7,4,3,5,7,7,8,6,6,6,3,6,Technical,Individual,Mobile App Developer
5.25,7,4,8,5,4,2,5,5,10,2,7,8,8,2,4,5,7,Technical,Individual,Cloud Engineer
4.78,4,6,4,8,1,1,5,2,2,2,9,7,7,4,7,4,6,Technical,Team,Software Tester
4.75,4,4,6,5,1,1,4,7,5,1,6,8,8,2,5,4,5,Technical,Team,System Administrator
5.83,8,9,4,5,6,4,5,3,4,4,6,9,8,5,7,6,7,Technical,Individual,Software Engineer
5.01,10,5,3,7,1,2,7,3,5,3,5,7,9,3,6,4,6,Analytical,Team,Machine Learning Engineer
4.95,6,3,8,5,4,2,3,7,5,1,7,9,8,5,1,3,6,Analytical,Individual,Cybersecurity Analyst
5.06,7,8,2,7,1,3,9,3,3,1,2,9,7,3,10,6,5,Analytical,Individual,Data Analyst
5.29,8,4,5,7,2,2,10,2,5,1,5,8,9,7,5,4,7,Analytical,Individual,Machine Learning Engineer
4.79,7,5,3,5,2,3,6,1,1,3,7,6,7,5,6,2,6,Analytical,Team,Software Tester
4.92,4,6,2,10,1,3,9,1,3,2,2,9,9,3,4,6,5,Analytical,Individual,Data Analyst
5.36,10,7,5,4,2,9,4,4,4,3,7,9,6,6,3,4,5,Technical,Individual,Mobile App Developer
5.14,7,4,2,10,2,1,9,2,6,2,5,7,7,4,6,5,9,Analytical,Individual,Machine Learning Engineer
4.51,1,1,1,4,3,1,2,1,2,8,2,5,8,8,7,4,7,Creative,Team,UI/UX Designer
5.88,10,9,7,7,6,4,5,4,5,1,7,8,6,3,7,5,7,Technical,Individual,Software Engineer
4.72,6,6,5,3,5,2,4,1,3,2,8,9,8,5,5,3,5,Technical,Team,Software Tester
4.65,1,2,6,3,1,1,4,2,1,2,2,5,9,6,8,8,10,Analytical,Team,IT Project Coordinator
4.36,4,3,3,3,2,3,5,2,3,1,10,8,7,2,6,2,8,Technical,Team,Software Tester
4.99,4,1,3,2,4,3,2,1,2,7,1,6,7,8,6,4,6,Creative,Team,UI/UX Designer
5.11,8,4,3,1,3,10,2,3,3,7,8,9,8,7,3,2,7,Technical,Individual,Mobile App Developer
4.62,2,6,4,6,3,2,6,1,2,1,1,7,10,5,7,8,7,Analytical,Team,Business Analyst
5.0,4,4,10,5,4,2,7,8,6,2,5,7,6,4,4,2,5,Technical,Individual,Cybersecurity Analyst
5.15,6,7,7,4,4,3,2,8,4,1,8,9,8,3,6,3,7,Technical,Individual,Cybersecurity Analyst
4.38,3,1,1,3,6,2,3,2,1,7,1,4,5,10,6,5,8,Technical,Team,UI/UX Designer
4.5,5,4,5,3,2,3,2,3,2,2,10,8,8,4,4,2,8,Technical,Team,Software Tester
4.77,4,5,4,6,2,4,2,1,1,2,9,9,10,2,7,2,6,Technical,Team,Software Tester
4.82,5,6,3,4,1,3,2,4,7,2,4,6,8,3,7,4,6,Technical,Team,Cloud Engineer
5.0,7,8,5,7,1,1,7,3,3,1,5,9,7,4,6,5,5,Analytical,Individual,Data Analyst
4.9,4,5,2,6,3,1,5,2,1,2,1,6,9,4,8,10,10,Analytical,Team,IT Project Coordinator
5.02,5,6,8,5,3,1,5,3,9,1,4,9,7,4,4,5,8,Technical,Individual,Cloud Engineer
4.85,2,7,2,5,2,1,4,2,2,2,3,8,7,5,9,9,8,Analytical,Team,IT Project Coordinator
4.9,6,6,6,6,5,1,2,2,3,1,9,8,9,3,6,4,6,Analytical,Individual,Software Tester
4.1,3,1,3,2,5,1,1,1,1,7,4,5,5,8,7,6,7,Creative,Team,UI/UX Designer
4.66,6,7,7,4,2,3,3,5,7,1,6,5,4,3,6,2,8,Technical,Team,Cloud Engineer
4.74,7,5,4,9,1,3,7,2,1,1,2,8,7,5,7,6,5,Analytical,Individual,Data Analyst
4.91,6,6,3,6,2,3,5,3,1,2,10,6,8,2,7,3,8,Technical,Team,Software Tester
4.7,4,4,9,4,3,1,3,8,4,2,7,7,7,3,3,5,5,Technical,Team,Cybersecurity Analyst
5.29,8,8,5,8,6,4,4,2,5,1,7,8,7,6,7,5,5,Technical,Individual,Software Engineer
4.84,2,2,1,6,3,2,4,1,3,2,1,6,8,3,8,8,9,Analytical,Team,IT Project Coordinator
5.46,7,7,5,3,7,3,3,5,3,7,5,9,8,6,4,5,6,Technical,Team,Web Developer
4.51,8,7,1,7,1,2,7,1,1,2,4,6,7,2,7,6,7,Analytical,Individual,Data Analyst
5.52,10,4,4,6,5,9,2,5,5,6,5,8,6,5,3,4,7,Technical,Individual,Mobile App Developer
5.13,7,5,3,6,4,10,3,6,4,3,5,9,5,5,5,5,7,Technical,Individual,Mobile App Developer
5.28,10,7,1,10,2,1,10,2,7,1,7,8,8,4,4,2,6,Analytical,Individual,Machine Learning Engineer
4.38,2,1,1,2,1,1,2,1,1,4,3,4,5,9,7,5,7,Creative,Team,UI/UX Designer
5.95,8,7,7,5,5,5,4,3,3,4,5,10,9,9,5,6,8,Technical,Individual,Software Engineer
5.04,6,6,9,6,2,2,3,10,6,1,5,9,7,3,5,3,4,Technical,Individual,Cybersecurity Analyst
5.03,5,6,6,5,1,6,4,5,7,1,6,7,7,4,6,3,8,Technical,Team,Cloud Engineer
4.9,10,7,2,7,4,1,7,3,4,2,5,7,8,3,4,4,5,Analytical,Individual,Machine Learning Engineer
4.65,3,4,4,6,1,1,3,2,3,1,4,7,6,5,9,10,10,Analytical,Team,IT Project Coordinator
4.91,7,4,3,4,8,4,2,2,3,7,7,7,3,7,4,2,6,Technical,Team,Web Developer
4.57,2,3,4,3,1,1,6,2,1,1,3,8,7,4,7,8,9,Analytical,Team,IT Project Coordinator
4.93,1,3,2,3,5,1,2,1,2,9,2,6,4,9,9,4,6,Technical,Team,UI/UX Designer
4.89,6,4,8,6,4,1,5,7,3,2,5,6,6,2,6,5,6,Technical,Individual,Cybersecurity Analyst
4.92,4,4,2,6,3,3,5,1,3,1,2,5,6,3,10,9,9,Analytical,Team,IT Project Coordinator
5.0,7,3,10,4,3,2,5,10,3,1,5,9,7,5,4,4,4,Technical,Team,Cybersecurity Analyst
4.93,6,5,5,10,2,2,7,2,4,2,2,8,9,4,7,4,4,Analytical,Individual,Data Analyst
4.83,4,6,2,6,4,6,3,3,2,3,10,10,6,2,4,4,7,Technical,Team,Software Tester
5.12,7,7,4,10,3,3,7,2,4,1,5,7,9,3,5,6,7,Technical,Individual,Data Analyst
5.05,7,6,2,7,3,2,5,3,7,2,6,7,10,6,4,4,6,Analytical,Individual,Machine Learning Engineer
5.1,9,3,5,3,7,3,4,6,2,5,4,5,6,7,5,5,10,Technical,Team,Web Developer
5.56,6,9,6,2,10,4,3,7,5,8,7,8,6,6,7,3,5,Technical,Team,Web Developer
5.0,7,6,7,3,3,2,2,9,4,2,7,9,6,5,4,5,4,Technical,Individual,Cybersecurity Analyst
5.07,5,4,6,5,4,3,5,5,9,5,4,9,5,3,7,5,4,Technical,Team,Cloud Engineer
4.98,5,7,2,9,3,4,10,3,4,1,1,6,10,2,8,4,5,Analytical,Individual,Data Analyst
5.12,7,6,1,6,3,10,4,3,5,6,6,6,5,7,5,4,4,Analytical,Individual,Mobile App Developer
4.89,4,3,8,3,2,1,4,5,9,1,4,6,5,5,7,4,5,Technical,Team,Cloud Engineer
5.33,10,6,7,7,5,5,2,4,4,2,5,7,6,5,7,6,6,Technical,Individual,Software Engineer
4.3,7,4,2,4,2,2,4,1,1,1,7,8,8,3,5,3,7,Technical,Individual,Software Tester
5.0,5,8,3,8,2,1,9,3,3,3,5,7,10,3,7,1,7,Analytical,Individual,Data Analyst
5.31,10,6,6,4,3,9,1,5,4,7,5,9,5,9,3,3,5,Technical,Individual,Mobile App Developer
4.66,7,4,3,5,5,1,2,2,2,2,7,7,8,2,6,5,8,Technical,Team,Software Tester
4.44,5,3,6,4,1,3,4,3,8,2,4,8,5,3,6,2,8,Technical,Team,Cloud Engineer
4.8,2,2,3,4,5,3,2,2,3,7,2,6,5,8,10,5,8,Creative,Team,UI/UX Designer
5.47,8,4,4,6,10,5,3,4,3,6,5,9,7,7,2,5,7,Technical,Team,Web Developer
5.05,5,6,10,5,2,2,5,9,5,2,6,8,6,2,5,4,5,Technical,Individual,Cybersecurity Analyst
5.05,6,8,5,7,2,3,10,3,3,1,3,7,8,2,8,6,5,Analytical,Individual,Data Analyst
5.11,5,6,8,7,4,3,2,9,6,1,7,9,8,2,4,3,6,Technical,Team,Cybersecurity Analyst
5.07,9,6,5,4,4,8,4,2,5,7,2,8,7,4,6,5,2,Creative,Team,Mobile App Developer
5.13,6,4,5,4,10,2,1,4,4,5,4,9,6,7,6,4,8,Analytical,Team,Web Developer
5.32,7,7,4,7,5,3,3,1,5,1,9,7,6,6,8,5,8,Technical,Team,Software Engineer
5.0,9,7,3,2,7,2,1,4,3,5,7,6,6,8,6,4,5,Technical,Team,Web Developer
5.02,7,6,6,3,2,3,2,3,10,1,8,6,5,4,7,5,8,Technical,Team,Cloud Engineer
5.1,8,6,3,5,4,9,3,2,2,6,8,9,5,5,5,3,5,Technical,Individual,Mobile App Developer
4.93,5,6,9,4,3,2,1,4,5,2,10,7,7,4,4,3,6,Technical,Team,System Administrator
5.61,8,4,6,2,10,5,3,2,3,8,4,9,8,8,7,3,7,Technical,Team,Web Developer
4.96,5,7,8,3,1,2,3,4,6,1,5,6,5,4,6,3,3,Technical,Team,System Administrator
4.79,5,3,5,3,5,2,4,1,1,3,8,7,7,3,6,5,8,Technical,Individual,Software Tester
4.17,4,6,4,10,1,2,8,1,1,1,2,6,8,3,5,3,5,Analytical,Individual,Data Analyst
4.55,2,5,1,7,3,1,5,2,1,1,4,6,10,4,10,7,7,Analytical,Team,Business Analyst
4.96,7,5,8,3,2,1,4,10,3,1,3,9,7,5,3,3,4,Technical,Individual,Cybersecurity Analyst
4.37,4,1,1,2,4,3,2,2,2,8,3,6,4,9,6,6,9,Creative,Team,UI/UX Designer
5.06,9,7,2,9,1,2,10,1,8,2,4,7,7,4,4,3,6,Analytical,Individual,Machine Learning Engineer
5.12,8,6,5,5,2,10,3,3,5,7,7,7,7,6,3,2,5,Technical,Individual,Mobile App Developer
5.22,10,7,9,1,7,6,4,1,2,1,7,7,6,5,4,4,8,Technical,Individual,Software Engineer
4.87,3,3,4,6,1,2,3,1,2,2,3,8,6,4,7,8,9,Analytical,Team,IT Project Coordinator
5.0,7,6,7,4,3,1,4,10,4,1,7,6,9,4,5,4,3,Analytical,Individual,Cybersecurity Analyst
5.01,7,4,6,3,5,10,4,2,4,4,8,9,5,5,5,4,5,Technical,Individual,Mobile App Developer
4.47,2,8,2,7,2,2,9,1,1,3,2,9,7,5,6,4,5,Analytical,Individual,Data Analyst
5.17,5,5,10,3,4,2,4,9,5,1,7,9,8,3,5,2,7,Technical,Individual,Cybersecurity Analyst
4.94,7,5,3,3,4,10,2,3,4,6,6,6,7,7,2,3,5,Technical,Team,Mobile App Developer
4.93,6,4,3,4,5,2,5,1,2,3,10,9,9,5,4,4,6,Technical,Team,Software Tester
5.0,6,5,4,2,8,2,4,4,3,5,7,7,5,10,4,4,5,Technical,Team,Web Developer
4.97,7,4,2,4,4,2,3,2,1,2,7,9,8,7,5,2,8,Technical,Team,Software Tester
4.99,4,7,9,5,3,1,1,7,8,2,5,9,7,2,4,5,5,Technical,Team,System Administrator
5.0,6,5,9,5,1,4,3,4,7,2,4,8,7,2,4,5,8,Technical,Team,System Administrator
5.35,6,4,3,2,8,4,2,5,4,9,7,6,7,9,6,2,10,Technical,Team,Web Developer
4.68,5,5,8,3,1,1,4,6,7,1,7,6,8,1,5,4,5,Technical,Team,System Administrator
5.17,5,4,9,5,3,1,5,4,7,1,6,9,6,4,7,6,7,Technical,Team,Cloud Engineer
4.94,6,6,4,8,3,2,9,1,4,1,2,9,8,4,8,4,5,Analytical,Individual,Data Analyst
4.74,5,6,8,4,3,3,4,6,5,1,4,5,8,3,5,3,7,Technical,Team,System Administrator
4.96,4,2,3,2,4,2,4,1,1,9,4,5,4,9,9,4,8,Analytical,Team,UI/UX Designer
5.05,7,6,5,5,5,5,2,1,5,4,6,7,6,6,6,5,5,Technical,Individual,Software Engineer
4.8,6,4,9,5,3,1,2,8,3,2,5,7,7,4,3,5,4,Creative,Individual,Cybersecurity Analyst
4.97,4,4,8,5,3,1,4,7,4,2,7,9,6,2,5,5,5,Technical,Individual,System Administrator
5.23,8,8,4,6,5,3,3,3,3,1,7,8,7,6,9,6,7,Technical,Individual,Software Engineer
5.03,9,6,4,2,7,2,1,4,2,7,5,9,7,8,8,2,6,Analytical,Team,Web Developer
4.98,1,2,4,6,2,2,6,1,1,3,4,8,6,4,9,10,7,Analytical,Individual,IT Project Coordinator
5.32,10,6,6,3,3,9,5,4,2,7,8,7,7,5,6,5,7,Analytical,Individual,Mobile App Developer
4.2,3,5,6,3,2,4,1,6,5,2,4,9,5,1,4,3,6,Technical,Team,System Administrator
4.96,6,4,3,7,3,1,5,4,2,3,3,9,10,4,7,6,7,Analytical,Team,Business Analyst
4.72,4,4,6,5,1,1,1,4,9,3,7,7,5,4,4,4,6,Technical,Team,System Administrator
5.27,9,5,3,4,6,2,3,3,3,6,6,8,6,8,5,3,10,Technical,Team,Web Developer
5.0,6,6,6,2,9,2,1,3,3,7,5,8,6,6,7,3,5,Technical,Team,Web Developer
5.21,10,5,9,4,3,2,5,8,6,1,8,6,6,5,3,5,5,Technical,Individual,Cybersecurity Analyst
4.62,4,1,1,1,4,3,4,1,1,10,2,5,5,8,9,6,7,Technical,Team,UI/UX Designer
4.84,5,7,9,2,4,1,1,5,7,2,6,9,8,2,5,4,5,Technical,Team,System Administrator
5.24,8,7,7,6,7,5,3,3,4,1,6,8,6,5,5,4,8,Technical,Individual,Software Engineer
4.69,4,4,9,3,3,2,5,8,1,2,6,10,8,4,4,2,4,Technical,Individual,Cybersecurity Analyst
4.86,5,6,7,5,1,3,4,9,6,1,7,7,6,4,4,2,4,Technical,Individual,Cybersecurity Analyst
5.0,7,5,5,5,5,3,3,2,2,1,9,10,10,3,4,3,8,Technical,Team,Software Tester
4.59,1,3,2,2,3,3,2,2,1,8,3,4,7,10,8,3,9,Creative,Team,UI/UX Designer
5.17,7,5,6,6,3,1,3,6,7,2,7,9,5,3,7,5,8,Analytical,Team,Cloud Engineer
4.75,5,1,5,5,6,4,4,1,1,1,7,9,6,1,7,2,7,Technical,Individual,Software Tester
5.26,8,8,7,7,7,4,2,2,2,2,7,9,7,5,5,3,5,Technical,Individual,Software Engineer
5.01,8,4,5,10,2,1,9,2,6,2,7,7,7,4,5,2,6,Analytical,Team,Machine Learning Engineer
4.76,5,6,4,3,2,2,6,2,1,1,1,6,5,6,7,9,9,Analytical,Team,IT Project Coordinator
4.95,6,4,9,6,3,3,2,8,9,1,4,7,4,2,5,6,5,Technical,Team,Cloud Engineer
4.92,5,7,5,10,2,2,7,3,1,1,4,9,7,2,6,4,4,Analytical,Individual,Data Analyst
5.21,10,5,3,5,4,7,4,5,1,4,5,8,7,8,6,5,5,Technical,Individual,Mobile App Developer
5.18,7,7,6,4,9,3,2,1,5,5,6,8,8,7,4,3,8,Technical,Team,Web Developer
5.0,5,6,8,3,4,1,4,9,3,2,8,7,8,5,3,4,5,Technical,Individual,Cybersecurity Analyst
4.9,2,3,1,6,3,1,8,2,3,2,1,6,10,5,10,8,7,Analytical,Team,Business Analyst
5.0,6,5,1,6,5,3,3,5,3,2,8,9,7,5,8,4,5,Technical,Individual,Software Tester
5.25,4,6,10,5,3,3,5,10,4,2,6,8,6,2,6,4,6,Technical,Individual,Cybersecurity Analyst
4.97,5,5,5,9,4,1,6,2,7,1,7,7,6,5,5,5,4,Analytical,Individual,Machine Learning Engineer
4.93,8,4,6,3,2,1,2,5,8,1,6,7,7,5,7,3,6,Technical,Team,Cloud Engineer
5.0,4,5,8,5,3,3,5,9,3,1,7,6,9,4,3,3,7,Technical,Individual,Cybersecurity Analyst
5.18,10,5,3,10,4,3,8,3,4,2,7,10,8,3,4,4,6,Analytical,Individual,Machine Learning Engineer
4.9,5,6,1,3,5,4,5,3,2,1,8,7,6,3,4,3,6,Technical,Team,Software Tester
